 Variant= 
 b
  1  2  3  4
 A
  5.50000 -2.60000  1.00000 -1.70000
 -2.60000  7.50000 -2.50000 -0.40000
  1.00000 -2.50000  0.90000  0.40000
 -1.70000 -0.40000  0.40000  4.90000
 Решение прямым методом квадратного корня 
 x*
  -4.27547946212065  26.9193180983173  85.2733485193622  -5.43059739878021
 Норма матрицы=10.08864
 Метод простой итерации
                        |   Норма   | Норма      |  Оценка   |
 Itr    |  tau |  q     |  невязки  |погрешности |Погрешности|    x[1]    x[2]     x[3]    x[4]
  1   | 0.1784 |  6.623 |37.1202371 | 16.1655239 |-7.8007802 |  1.80288  1.76806  3.48173  1.44862 
  2   | 0.1784 |  0.412 |15.3020605 | 15.9533572 | 1.9147905 |  0.85049  2.25172  3.82148  1.32037 
  3   | 0.1784 |  0.762 |11.6593864 | 15.8160936 | 6.6584166 |  0.95753  1.78876  4.50150  1.02564 
  4   | 0.1784 |  0.788 | 9.1897788 | 15.7023956 | 6.1012954 |  0.53405  2.27725  4.86775  0.93948 
  5   | 0.1784 |  0.795 | 7.3062053 | 15.5978548 | 5.0563960 |  0.66125  2.07284  5.47478  0.80892 
  6   | 0.1784 |  0.799 | 5.8341621 | 15.4975728 | 4.1254973 |  0.42090  2.46241  5.87979  0.77317 
  7   | 0.1784 |  0.801 | 4.6708729 | 15.3996915 | 3.3461724 |  0.51402  2.39729  6.43896  0.69467 
  8   | 0.1784 |  0.802 | 3.7472885 | 15.3033991 | 2.7126737 |  0.36198  2.70632  6.86828  0.66849 
  9   | 0.1784 |  0.804 | 3.0131429 | 15.2082862 | 2.2064654 |  0.41795  2.72092  7.39551  0.61050 
 10   | 0.1784 |  0.807 | 2.4301345 | 15.1141223 | 1.8072811 |  0.31411  2.97298  7.83873  0.58360 
 11   | 0.1784 |  0.810 | 1.9683913 | 15.0207675 | 1.4971393 |  0.34186  3.03536  8.34366  0.53508 
 12   | 0.1784 |  0.815 | 1.6043442 | 14.9281338 | 1.2614715 |  0.26651  3.24890  8.79385  0.50581 
 13   | 0.1784 |  0.822 | 1.3192642 | 14.8361641 | 1.0892727 |  0.27496  3.34045  9.28253  0.46239 
 14   | 0.1784 |  0.832 | 1.0981488 | 14.7448204 | 0.9730684 |  0.21723  3.52829  9.73517  0.43115 
 15   | 0.1784 |  0.846 | 0.9288240 | 14.6540775 | 0.9090469 |  0.21305  3.63766 10.21143  0.39081 
